"Gebiet","Sachmerkmal","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
Hartmannsdorf-Knautnaundorf,Jugendquote,"16,2","15,6","15","14,9","13,9","13,9","13,3","13,8","14,3","16,47058824","17,57719715","18,13898704","19,56769056","17,9234972677596","17,8888888888889","18,86586695747","20,3290246768508","21,5843857634902","24,2014742014742","24,7549019607843","24,9673202614379","28,0104712041885","27,0375161707633","26,72634271"
Schönau,Jugendquote,"13,8","13,8","13,2","12,4","12,7","12,8","13,7","13,8","14,9","15,19699812","16,3546798","16,25632378","16,39835268","17,9156908665105","20,2842873607376","22,1674876847291","23,5426852200075","24,9156987635819","25,8376768428891","24,2079031683873","23,4823215476985","23,4022556390977","24,6214415505754","24,30243024"
Grünau-Ost,Jugendquote,"10,4","9,8","9","8,6","9","8,9","9,3","9,2","9,9","10,65516437","11,92036902","12,25043135","13,15054582","13,7289862455425","15,1820294345469","17,377812257564","19,0539818278995","20,4581779435269","21,17202268431","21,3257267046998","21,5098529003608","20,6859303267621","21,5620134924754","21,76179307"
Grünau-Mitte,Jugendquote,"15,9","14,5","14,5","14,2","14,4","14,2","14,7","14,4","15,6","16,98320947","17,83241487","18,67927231","19,64234621","21,1015840720825","22,0760651987418","23,8542556219755","26,8108108108108","27,8741865509761","28,8610695332698","29,0829574962416","29,6005509641873","29,7059631766969","29,2973402143708","29,31565555"
Grünau-Siedlung,Jugendquote,"12,6","11,9","10,6","9,4","9","9,8","9,8","10,2","11,2","12,36093943","13,24392288","14,50446618","15,39462272","15,6942559927635","15,816091954023","17,6360225140713","18,859649122807","20,4488778054863","21,6270843860536","20,9048361934477","20,8530805687204","21,830985915493","22,2826086956522","21,00330761"
Lausen-Grünau,Jugendquote,"12,6","12,2","11,5","10,9","10,1","10,5","10,7","11,8","12,6","13,13287073","14,35185185","14,77832512","16,33952255","16,9383231190507","17,8033774054196","18,4089414858646","20,275134996143","21,6289945440374","22,8461436346741","23,0432475457681","23,4034113447045","23,8362237579867","25,2764807077906","24,25391389"
Grünau-Nord,Jugendquote,"15,9","15,3","15,2","14,9","14,9","14,5","14,5","15,5","17,4","18,62309031","19,57472178","20,5570026","22,14058777","22,7082085080887","23,9657631954351","25,0609756097561","27,1711919892163","27,4901185770751","28,2254863040889","27","27,4767801857585","27,2813507873269","27,576804217415","25,77683616"
Miltitz,Jugendquote,"17,4","15,9","14,1","11,8","12,6","13,2","12,8","12,6","13,6","13,67959034","13,5431918","13,35311573","12,6911315","13,8091543832428","14","14,1627543035994","15,8222915042868","16,2627052384676","16,8395849960096","17,2077922077922","17,3622704507513","17,2566371681416","17,4187725631769","18,11460259"
Lindenau,Jugendquote,"16,8","16,1","15,6","15,4","15","15,3","14,9","15,2","15,2","15,95671195","16,42966528","16,9249845","16,75834971","17,8445557410499","18,2237191987236","18,9296333002973","19,5762981841351","19,7335423197492","20,6311822892134","20,3582554517134","20,8588019559902","20,9645215788665","20,7948794284013","20,12680625"
Altlindenau,Jugendquote,"19","19,2","18","18,1","17,4","16,9","17,2","17,8","17,6","18,33517089","18,30079382","18,24234354","17,76986723","17,8652604782253","18,3516483516484","18,3427647534357","19,0636235735501","19,0541362530414","19,687616214206","19,7780020181635","20,1606597000071","20,3723594701038","20,3761974687085","20,02081888"
Neulindenau,Jugendquote,"16,7","15,6","15,1","13,7","13,3","13,6","14,1","15","15,4","16,37630662","17,22640417","17,86216596","18,38926174","18,3981576253838","18,7651331719128","18,7150837988827","19,7955390334572","20,2144293053384","20,7978484984312","20,9147424511545","20,4647006255585","20,2905027932961","21,2834917891098","23,33529758"
Leutzsch,Jugendquote,"16,1","15,4","15","14,4","14,6","14,2","14,8","15,3","16,1","17,09871245","17,97022078","17,97790425","18,91674703","19,2440401505646","19,7057038834951","20,1030927835052","20,1101928374656","20,8411080809531","20,5442370708078","20,8053691275168","20,6433166547534","20,4870451649441","20,4968944099379","19,77586443"
Böhlitz-Ehrenberg,Jugendquote,"18","17,8","17,6","16,8","16,8","16,6","17,5","18,2","18,6","19,11307478","19,62493831","20,1568115","19,91607489","20,4218600191755","20,7841887153331","20,6195393169182","21,4148527528809","21,1227402473834","21,1575562700965","21,1267605633803","21,2602212602213","21,2345282108986","21,3776722090261","21,25158831"
