"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Sellerhausen-Stünz,Körperverletzung,"36","23","25","34","35","44","79","94","95","93","111","100","153","114","124","115","148","137","141"
Paunsdorf,Körperverletzung,"86","82","82","96","75","84","158","190","194","238","290","258","272","306","273","247","311","303","358"
Heiterblick,Körperverletzung,"11","3","9","15","12","99","13","18","16","20","26","27","21","33","19","19","18","22","38"
Mölkau,Körperverletzung,"8","19","15","13","13","19","26","31","26","26","19","33","31","25","24","31","20","19","43"
Engelsdorf,Körperverletzung,"16","16","24","20","15","23","49","63","59","46","61","76","70","65","57","59","60","53","72"
Baalsdorf,Körperverletzung,"0","2","2","1","2","6","7","1","4","7","11","8","9","5","12","6","2","1","5"
Althen-Kleinpösna,Körperverletzung,"5","3","4","3","2","7","5","8","18","15","9","15","18","9","7","9","15","5","16"
Reudnitz-Thonberg,Körperverletzung,"101","54","79","102","107","103","205","207","233","187","264","211","215","220","208","219","229","233","261"
Stötteritz,Körperverletzung,"63","65","63","68","70","57","125","117","107","124","112","96","104","125","107","115","145","121","152"
Probstheida,Körperverletzung,"42","26","32","26","28","34","56","44","42","53","51","49","62","70","71","82","58","71","80"
Meusdorf,Körperverletzung,"23","31","30","19","14","16","27","34","45","30","22","24","32","51","47","28","19","29","46"
Liebertwolkwitz,Körperverletzung,"19","12","20","24","33","7","32","31","45","45","43","25","46","40","32","27","60","34","43"
Holzhausen,Körperverletzung,"9","9","15","16","18","19","33","20","29","46","52","29","29","26","25","38","31","50","45"
Südvorstadt,Körperverletzung,"72","72","98","113","122","64","130","128","132","167","151","165","177","149","167","148","164","136","148"
Connewitz,Körperverletzung,"101","122","87","160","118","138","193","189","244","192","213","184","197","174","145","192","164","171","199"
Marienbrunn,Körperverletzung,"15","8","16","19","17","9","23","20","29","26","31","33","19","32","33","31","22","32","38"
Lößnig,Körperverletzung,"40","49","48","63","49","46","87","98","94","79","89","90","82","93","71","82","70","82","88"
Dölitz-Dösen,Körperverletzung,"41","41","37","30","32","14","28","32","21","22","27","39","79","46","39","44","30","21","45"
Schleußig,Körperverletzung,"40","35","25","24","38","31","81","59","73","62","59","50","43","51","43","44","66","78","77"
Plagwitz,Körperverletzung,"81","96","89","95","86","90","160","154","165","148","159","148","187","130","157","155","131","167","187"
Kleinzschocher,Körperverletzung,"74","58","62","86","65","65","110","120","153","119","128","150","143","111","102","124","110","126","128"
Großzschocher,Körperverletzung,"40","33","49","40","67","45","97","80","107","70","110","75","87","95","80","63","69","60","93"
Knautkleeberg-Knauthain,Körperverletzung,"24","13","16","17","8","15","23","18","39","14","23","12","27","30","21","26","25","26","31"
Hartmannsdorf-Knautnaundorf,Körperverletzung,"1","3","4","5","1","3","4","5","3","4","2","10","14","7","15","9","9","14","13"
Schönau,Körperverletzung,"33","30","41","32","34","23","46","71","75","64","52","63","60","69","69","55","83","70","87"
Grünau-Ost,Körperverletzung,"21","29","25","20","25","13","49","46","55","58","58","56","71","76","77","80","66","79","127"
Grünau-Mitte,Körperverletzung,"138","120","103","118","108","99","176","209","215","180","226","196","225","235","212","219","250","307","348"
Grünau-Siedlung,Körperverletzung,"19","12","9","14","14","9","16","26","14","18","30","24","26","22","22","29","24","23","38"
Lausen-Grünau,Körperverletzung,"94","91","104","105","99","68","122","133","155","168","160","195","147","149","136","154","193","204","213"
Grünau-Nord,Körperverletzung,"85","99","91","97","73","82","110","125","120","112","111","99","116","107","122","134","154","144","145"
Miltitz,Körperverletzung,"3","9","0","8","6","4","14","11","11","13","16","5","7","13","13","22","13","7","9"
Lindenau,Körperverletzung,"33","38","50","68","61","66","106","121","145","103","113","107","102","135","98","104","102","98","106"
Altlindenau,Körperverletzung,"113","109","133","142","162","152","284","317","289","240","237","245","232","209","207","225","260","237","244"
Neulindenau,Körperverletzung,"34","17","33","30","36","32","57","91","61","84","98","81","98","77","59","80","67","89","82"
Leutzsch,Körperverletzung,"37","46","34","37","43","52","90","96","121","77","108","114","102","74","92","88","104","119","128"
Böhlitz-Ehrenberg,Körperverletzung,"27","23","32","21","36","34","65","62","55","61","68","60","72","74","39","72","82","75","76"
Burghausen-Rückmarsdorf,Körperverletzung,"14","7","8","19","25","10","17","34","26","22","22","32","30","37","26","26","33","21","34"
Möckern,Körperverletzung,"87","78","102","72","120","85","158","179","199","204","215","212","259","220","226","208","204","207","226"
Wahren,Körperverletzung,"37","49","29","42","52","28","52","57","54","52","64","64","58","63","67","62","48","55","85"
Lützschena-Stahmeln,Körperverletzung,"10","8","6","11","14","21","33","24","24","25","37","14","23","27","41","23","30","33","38"
Lindenthal,Körperverletzung,"20","8","18","10","14","13","35","23","31","20","34","21","37","21","32","23","29","30","47"
Gohlis-Süd,Körperverletzung,"76","89","91","75","72","85","112","148","188","153","172","198","160","149","135","125","189","156","174"
Gohlis-Mitte,Körperverletzung,"60","33","48","59","42","46","98","82","107","83","106","62","71","86","57","87","87","82","109"
Gohlis-Nord,Körperverletzung,"42","35","28","45","49","29","57","65","71","73","89","60","58","67","90","58","87","75","107"
Eutritzsch,Körperverletzung,"60","82","82","61","83","76","131","126","167","170","144","161","216","166","177","161","152","149","136"
Seehausen,Körperverletzung,"23","14","13","27","15","12","19","18","24","30","33","26","57","33","27","22","17","28","33"
Wiederitzsch,Körperverletzung,"15","11","17","19","24","21","44","41","40","37","47","35","53","35","35","34","33","52","58"
Mitte,Körperverletzung,"685","742","755","684","800","807","1198","1276","1434","1432","1630","1573","1803","1586","1494","1646","1475","1190","1871"
Nordost,Körperverletzung,"169","171","191","202","211","197","381","431","462","426","553","434","647","595","564","646","534","595","687"
Ost,Körperverletzung,"387","334","447","492","420","559","816","943","932","1103","1246","1182","1373","1231","1218","1237","1337","1283","1476"
Südost,Körperverletzung,"257","197","239","255","270","236","478","453","501","485","544","434","488","532","490","509","542","538","627"
Süd,Körperverletzung,"269","292","286","385","338","271","461","467","520","486","511","511","554","494","455","497","450","442","518"
Südwest,Körperverletzung,"260","238","245","267","265","249","475","436","540","417","481","445","501","424","418","421","410","471","529"
West,Körperverletzung,"393","390","373","394","359","298","533","621","645","613","653","638","652","671","651","693","783","834","967"
Alt-West,Körperverletzung,"258","240","290","317","363","346","619","721","697","587","646","639","636","606","521","595","648","639","670"
Nordwest,Körperverletzung,"154","143","155","135","200","147","278","283","308","301","350","311","377","331","366","316","311","325","396"
