"Gebiet","Sachmerkmal","2015","2017","2019","2021"
Wahren,Zukunftsaussicht,"2,29188760564938","2,27204137945879","2,2","2,4000518379"
Lützschena-Stahmeln,Zukunftsaussicht,"2,20780043215577","2,23540706366807","2,2","2,4315400896"
Lindenthal,Zukunftsaussicht,"2,18155826927956","2,2135374602932","2,2","2,3002581614"
Gohlis-Süd,Zukunftsaussicht,"1,97768779665494","1,98845842499059","2","2,2389451906"
Gohlis-Mitte,Zukunftsaussicht,"2,19933803228922","2,04666085366214","2,1","2,0681557831"
Gohlis-Nord,Zukunftsaussicht,"2,29063155514016","2,26497405450134","2,6","2,3210492348"
Eutritzsch,Zukunftsaussicht,"2,35073827745765","2,30746671942835","2,3","2,3206149849"
Seehausen,Zukunftsaussicht,"2,11221007414952","2,23997615187767","2,2","2,3220669947"
Wiederitzsch,Zukunftsaussicht,"2,06437334608452","2,03977157143616","2","2,2500259593"
Mitte,Zukunftsaussicht,"2,05892881890769","2,12320974387547","2,1","2,2017453515"
Nordost,Zukunftsaussicht,"2,48378497690238","2,44050140633221","2,3","2,5116554275"
Ost,Zukunftsaussicht,"2,28719419625808","2,33769140872721","2,2","2,3051680071"
Südost,Zukunftsaussicht,"2,19958156830759","2,20548546432893","2,2","2,2382898503"
Süd,Zukunftsaussicht,"2,18053959016694","2,21505310805539","2,1","2,3511758602"
Südwest,Zukunftsaussicht,"2,20410000479582","2,18237972650669","2,1","2,2079714974"
West,Zukunftsaussicht,"2,4803954728601","2,56197154538611","2,5","2,5942017098"
Alt-West,Zukunftsaussicht,"2,23977240704777","2,20998378274001","2,2","2,3333035313"
Nordwest,Zukunftsaussicht,"2,3468199393649","2,29674395687552","2,2","2,3912448108"
Nord,Zukunftsaussicht,"2,18759022419024","2,12495715539881","2,2","2,2507755533"
